DT_CTBIL;SG_EMPRE;CD_CANAL_VENDA;CD_PRODUTO;CD_LOCAL_DEBITO;CD_LOCAL_CREDITO;VL_PREMT;QT_PREMT;CD_CNAPE
30/11/2024;RPS;2;530;9555;9623;2162,34;0;107113
30/11/2024;RPS;2;535;9555;9623;157,98;0;107113
30/11/2024;RPS;2;539;9555;9623;87,19;0;107113
30/11/2024;RPS;2;789;9555;9623;9;0;107113
30/11/2024;RPS;2;812;9555;9623;125,17;0;107113
30/11/2024;RPS;2;815;9555;9623;4,76;0;107113
30/11/2024;RPS;2;116;9556;9623;512,6;0;107113
30/11/2024;RPS;2;208;9556;9623;1396,67;0;107113
30/11/2024;RPS;2;310;9556;9623;43952,94;0;107113
30/11/2024;RPS;2;315;9556;9623;5506,39;0;107113
30/11/2024;RPS;2;316;9556;9623;463,52;0;107113
30/11/2024;RPS;2;327;9556;9623;898,46;0;107113
30/11/2024;RPS;2;335;9556;9623;3891,63;0;107113
30/11/2024;RPS;2;530;9556;9623;14576,94;0;107113
30/11/2024;RPS;2;535;9556;9623;2330,58;0;107113
30/11/2024;RPS;2;536;9556;9623;270,45;0;107113
30/11/2024;RPS;2;539;9556;9623;96,53;0;107113
30/11/2024;RPS;2;544;9556;9623;625;0;107113
30/11/2024;RPS;2;625;9556;9623;706,39;0;107113
30/11/2024;RPS;2;789;9556;9623;45,9;0;107113
30/11/2024;RPS;2;812;9556;9623;810,58;0;107113
30/11/2024;RPS;2;815;9556;9623;123,84;0;107113
30/11/2024;RPS;2;817;9556;9623;3,85;0;107113
30/11/2024;RPS;2;941;9556;9623;169,77;0;107113
30/11/2024;RPS;2;116;9601;9623;27,99;0;107113
30/11/2024;RPS;2;310;9601;9623;4619,91;0;107113
30/11/2024;RPS;2;315;9601;9623;11398,32;0;107113
30/11/2024;RPS;2;327;9601;9623;831,38;0;107113
30/11/2024;RPS;2;329;9601;9623;786,02;0;107113
30/11/2024;RPS;2;530;9601;9623;1144,96;0;107113
30/11/2024;RPS;2;535;9601;9623;4363,57;0;107113
30/11/2024;RPS;2;539;9601;9623;132,36;0;107113
30/11/2024;RPS;2;789;9601;9623;0,5;0;107113
30/11/2024;RPS;2;812;9601;9623;53,65;0;107113
30/11/2024;RPS;2;815;9601;9623;96,18;0;107113
30/11/2024;RPS;2;116;9607;9623;166,4;0;107113
30/11/2024;RPS;2;117;9607;9623;178,96;0;107113
30/11/2024;RPS;2;208;9607;9623;637,31;0;107113
30/11/2024;RPS;2;310;9607;9623;5013,43;0;107113
30/11/2024;RPS;2;316;9607;9623;3212,33;0;107113
30/11/2024;RPS;2;327;9607;9623;1086,7;0;107113
30/11/2024;RPS;2;530;9607;9623;5948,63;0;107113
30/11/2024;RPS;2;536;9607;9623;2456,96;0;107113
30/11/2024;RPS;2;539;9607;9623;119,33;0;107113
30/11/2024;RPS;2;789;9607;9623;19;0;107113
30/11/2024;RPS;2;812;9607;9623;216,93;0;107113
30/11/2024;RPS;2;817;9607;9623;35,1;0;107113
30/11/2024;RPS;2;208;9621;9623;54,93;0;107113
30/11/2024;RPS;2;327;9621;9623;310,26;0;107113
30/11/2024;RPS;2;539;9621;9623;38,61;0;107113
